month,bins,Oxygen
10,454 - 455,0.0
11,454 - 455,0.04390193577431013
11,455 - 456,0.04932379201680712
10,455 - 456,0.034291373635015464
11,706 - 707,0.21896548857009854
10,706 - 707,0.2571778711484597
9,706 - 707,0.18452044279250224
11,958 - 959,0.3608962043366573
10,958 - 959,0.37214212949833575
9,958 - 959,0.319846688675471
11,959 - 960,0.3246454831932778
10,959 - 960,0.3734721161191759
10,1209 - 1210,0.4994962055677894
11,1209 - 1210,0.5192045568227294
9,1209 - 1210,0.47655937374949964
7,1455 - 1456,0.6306579449961811
8,1455 - 1456,0.6230304621848739
3,1455 - 1456,0.6688550420168067
6,1456 - 1457,0.6245199907838228
10,1456 - 1457,0.6770577250038777
2,1456 - 1457,0.6338433996009649
12,1456 - 1457,0.6286838755447165
3,1456 - 1457,0.6359118191775667
11,1456 - 1457,0.652940357574639
9,1456 - 1457,0.6690136694816341
4,1456 - 1457,0.6558936074429775
1,1456 - 1457,0.616010883018039
5,1456 - 1457,0.6489064145314147
7,1456 - 1457,0.6160636920743412
8,1456 - 1457,0.6502002308705587
3,1457 - 1458,0.5695903361344552
10,1461 - 1462,0.60131288477958
11,1461 - 1462,0.6131827731092442
9,1461 - 1462,0.5798975840336142
9,1960 - 1961,0.7035694085326439
1,1960 - 1961,0.6732339810924378
12,1960 - 1961,0.688267614738203
10,1960 - 1961,0.7087053571428579
8,1960 - 1961,0.7202271533613447
11,1960 - 1961,0.6912851347435524
1,1961 - 1962,0.673691160915586
10,1961 - 1962,0.702419624294625
11,1961 - 1962,0.6925922005922488
2,1961 - 1962,0.7104150835866261
8,1961 - 1962,0.7266883158162404
12,1961 - 1962,0.6825007452305245
9,1961 - 1962,0.7073368679368304
9,1964 - 1965,1.0
11,1965 - 1966,0.7401679421768712
10,1965 - 1966,0.740891588762794
9,1965 - 1966,0.7427952672485312
10,1966 - 1967,0.7242647058823528
11,1966 - 1967,0.7275592055003826
9,2165 - 2166,0.9098345588235296
11,2166 - 2167,0.7338208413286572
9,2166 - 2167,0.7463694558540909
10,2166 - 2167,0.7366166457756989
10,2362 - 2363,0.7580522286234085
9,2362 - 2363,0.7508633877491158
8,2362 - 2363,0.7183498891682661
7,2362 - 2363,0.7008856535132767
6,2362 - 2363,0.7060964770523601
5,2362 - 2363,0.7116209033613452
4,2362 - 2363,0.7136674451333935
3,2362 - 2363,0.7205139493166788
11,2362 - 2363,0.7466110904404958
2,2362 - 2363,0.7262966099434556
1,2362 - 2363,0.7319760773390137
12,2362 - 2363,0.7383746838470027
9,2367 - 2368,0.7664885004220031
11,2367 - 2368,0.7289810643508744
10,2367 - 2368,0.7416073136571705
